Location;HM;H;M
PT: Portugal;10347892;4917794;5430098
1: Continente;9860175;4684642;5175533
11: Norte;3588701;1707189;1881512
111: Alto Minho;231488;108324;123164
1601: Arcos de Valdevez;20729;9471;11258
160101: Aboim das Choças;294;125;169
160102: Aguiã;706;343;363
160104: Ázere;207;99;108
160105: Cabana Maior;177;79;98
160106: Cabreiro;324;134;190
160108: Cendufe;308;147;161
160109: Couto;647;295;352
160113: Gavieira;258;110;148
160115: Gondoriz;861;395;466
160142: Jolda (São Paio);316;138;178
160121: Miranda;247;101;146
160122: Monte Redondo;196;93;103
160123: Oliveira;327;148;179
160124: Paçô;973;470;503
160125: Padroso;197;92;105
160128: Prozelo;815;377;438
160131: Rio de Moinhos;433;213;220
160130: Rio Frio;536;225;311
160133: Sabadim;410;185;225
160144: Senharei;163;78;85
160145: Sistelo;199;75;124
160146: Soajo;671;292;379
160152: União das freguesias de Alvora e Loureda;378;158;220
160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;2759;1226;1533
160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;1677;788;889
160155: União das freguesias de Eiras e Mei;322;150;172
160156: União das freguesias de Grade e Carralcova;449;190;259
160157: União das freguesias de Guilhadeses e Santar;1173;539;634
160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;421;203;218
160159: União das freguesias de Padreiro (Salvador e Santa Cristina);349;155;194
160160: União das freguesias de Portela e Extremo;323;158;165
160161: União das freguesias de São Jorge e Ermelo;714;321;393
160162: União das freguesias de Souto e Tabaçô;914;430;484
160163: União das freguesias de Távora (Santa Maria e São Vicente);847;413;434
160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;476;217;259
160149: Vale;662;309;353
1602: Caminha;15828;7353;8475
160201: Âncora;1188;571;617
160205: Argela;375;178;197
160209: Dem;310;147;163
160211: Lanhelas;899;423;476
160214: Riba de Âncora;680;335;345
160215: Seixas;1415;656;759
160221: União das freguesias de Arga (Baixo, Cima e São João);159;72;87
160222: União das freguesias de Caminha (Matriz) e Vilarelho;2382;1051;1331
160223: União das freguesias de Gondar e Orbacém;398;182;216
160224: União das freguesias de Moledo e Cristelo;1495;702;793
160225: União das freguesias de Venade e Azevedo;880;414;466
160217: Vila Praia de Âncora;4630;2138;2492
160218: Vilar de Mouros;729;346;383
160220: Vile;288;138;150
1603: Melgaço;7776;3441;4335
160301: Alvaredo;489;214;275
160304: Cousso;239;95;144
160305: Cristoval;421;185;236
160307: Fiães;146;65;81
160308: Gave;181;68;113
160311: Paderne;1030;457;573
160313: Penso;445;207;238
160317: São Paio;538;253;285
160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;502;191;311
160320: União das freguesias de Chaviães e Paços;560;252;308
160321: União das freguesias de Parada do Monte e Cubalhão;477;200;277
160322: União das freguesias de Prado e Remoães;443;215;228
160323: União das freguesias de Vila e Roussas;2305;1039;1266
1604: Monção;17829;8171;9658
160401: Abedim;191;84;107
160404: Barbeita;921;422;499
160405: Barroças e Taias;278;131;147
160406: Bela;596;282;314
160407: Cambeses;494;232;262
160410: Lara;255;114;141
160411: Longos Vales;863;401;462
160415: Merufe;866;381;485
160418: Moreira;572;270;302
160420: Pias;763;366;397
160421: Pinheiros;319;146;173
160422: Podame;265;107;158
160423: Portela;201;90;111
160424: Riba de Mouro;803;333;470
160427: Segude;320;142;178
160428: Tangil;629;266;363
160431: Trute;246;110;136
160434: União das freguesias de Anhões e Luzio;196;79;117
160435: União das freguesias de Ceivães e Badim;553;252;301
160436: União das freguesias de Mazedo e Cortes;3826;1803;2023
160437: União das freguesias de Messegães, Valadares e Sá;554;250;304
160438: União das freguesias de Monção e Troviscoso;3281;1511;1770
160439: União das freguesias de Sago, Lordelo e Parada;383;184;199
160440: União das freguesias de Troporiz e Lapela;454;215;239
1605: Paredes de Coura;8636;4131;4505
160501: Agualonga;263;119;144
160503: Castanheira;637;312;325
160505: Coura;331;151;180
160507: Cunha;459;224;235
160510: Infesta;413;207;206
160513: Mozelos;344;165;179
160514: Padornelo;412;194;218
160515: Parada;277;132;145
160519: Romarigães;224;104;120
160520: Rubiães;494;230;264
160522: União das freguesias de Bico e Cristelo;735;351;384
160523: União das freguesias de Cossourado e Linhares;509;260;249
160524: União das freguesias de Formariz e Ferreira;916;426;490
160525: União das freguesias de Insalde e Porreiras;393;190;203
160526: União das freguesias de Paredes de Coura e Resende;2011;960;1051
160521: Vascões;218;106;112
1606: Ponte da Barca;11058;5140;5918
160601: Azias;303;146;157
160602: Boivães;264;125;139
160603: Bravães;600;271;329
160604: Britelo;379;192;187
160606: Cuide de Vila Verde;311;146;165
160611: Lavradas;826;389;437
160612: Lindoso;374;166;208
160613: Nogueira;375;173;202
160614: Oleiros;449;219;230
160619: Sampriz;307;135;172
160626: União das freguesias de Crasto, Ruivos e Grovelas;770;362;408
160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;498;218;280
160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;4196;1921;2275
160629: União das freguesias de Touvedo (São Lourenço e Salvador);330;162;168
160630: União das freguesias de Vila Chã (São João Baptista e Santiago);540;257;283
160623: Vade (São Pedro);240;112;128
160624: Vade (São Tomé);296;146;150
1607: Ponte de Lima;41204;19385;21819
160701: Anais;1028;486;542
160752: Arca e Ponte de Lima;3934;1792;2142
160704: Arcozelo;3569;1681;1888
160753: Ardegão, Freixo e Mato;1552;727;825
160754: Associação de freguesias do Vale do Neiva;904;440;464
160755: Bárrio e Cepões;787;372;415
160707: Beiral do Lima;500;234;266
160708: Bertiandos;360;167;193
160709: Boalhosa;117;49;68
160710: Brandara;422;196;226
160756: Cabaços e Fojo Lobal;818;391;427
160757: Cabração e Moreira do Lima;897;425;472
160713: Calheiros;931;441;490
160714: Calvelo;618;302;316
160716: Correlhã;2785;1335;1450
160717: Estorãos;407;200;207
160718: Facha;1393;656;737
160719: Feitosa;1867;885;982
160721: Fontão;1090;518;572
160758: Fornelos e Queijada;1872;883;989
160724: Friastelas;430;199;231
160726: Gandra;1065;503;562
160727: Gemieira;604;283;321
160728: Gondufe;420;202;218
160729: Labruja;384;186;198
160759: Labrujó, Rendufe e Vilar do Monte;315;156;159
160760: Navió e Vitorino dos Piães;1546;714;832
160734: Poiares;741;344;397
160744: Rebordões (Santa Maria);970;456;514
160747: Rebordões (Souto);1011;484;527
160737: Refóios do Lima;1978;909;1069
160739: Ribeira;1848;879;969
160740: Sá;343;164;179
160742: Santa Comba;592;285;307
160743: Santa Cruz do Lima;401;193;208
160703: São Pedro d'Arcos;601;260;341
160745: Seara;695;341;354
160746: Serdedelo;430;197;233
160750: Vitorino das Donas;979;450;529
1608: Valença;13634;6407;7227
160802: Boivão;185;78;107
160803: Cerdal;1551;764;787
160805: Fontoura;685;333;352
160806: Friestas;511;238;273
160808: Ganfei;1208;578;630
160812: São Pedro da Torre;1244;560;684
160817: União das freguesias de Gandra e Taião;1392;668;724
160818: União das freguesias de Gondomil e Sanfins;420;190;230
160819: União das freguesias de São Julião e Silva;599;291;308
160820: União das freguesias de Valença, Cristelo Covo e Arão;5266;2437;2829
160816: Verdoejo;573;270;303
1609: Viana do Castelo;85864;40513;45351
160901: Afife;1523;702;821
160902: Alvarães;2458;1164;1294
160903: Amonde;230;104;126
160904: Anha;2257;1050;1207
160905: Areosa;4711;2235;2476
160908: Carreço;1741;844;897
160910: Castelo do Neiva;2719;1281;1438
160940: Chafé;3452;1688;1764
160911: Darque;8012;3849;4163
160914: Freixieiro de Soutelo;464;234;230
160915: Lanheses;1518;685;833
160920: Montaria;450;193;257
160922: Mujães;1422;684;738
160925: Outeiro;1059;495;564
160926: Perre;2771;1346;1425
160928: Santa Marta de Portuzelo;3901;1860;2041
160923: São Romão de Neiva;1051;481;570
160941: União das freguesias de Barroselas e Carvoeiro;4702;2235;2467
160942: União das freguesias de Cardielos e Serreleis;2150;1011;1139
