Location;Area
PT: Portugal;92225.2
1: Continente;89102.14
11: Norte;21285.86
111: Alto Minho;2218.84
1111601: Arcos de Valdevez;447.6
1111602: Caminha;136.52
1111603: Melgaço;238.25
1111604: Monção;211.31
1111605: Paredes de Coura;138.19
1111606: Ponte da Barca;182.11
1111607: Ponte de Lima;320.25
1111608: Valença;117.13
1111609: Viana do Castelo;319.02
1111610: Vila Nova de Cerveira;108.47
112: Cávado;1245.79
1120301: Amares;81.95
1120302: Barcelos;378.9
1120303: Braga;183.4
1120306: Esposende;95.41
1120310: Terras de Bouro;277.46
1120313: Vila Verde;228.67
119: Ave;1451.36
1190304: Cabeceiras de Basto;241.82
1190307: Fafe;219.08
1190308: Guimarães;241
1191705: Mondim de Basto;172.08
1190309: Póvoa de Lanhoso;134.65
1190311: Vieira do Minho;216.44
1190312: Vila Nova de Famalicão;201.59
1190314: Vizela;24.7
11A: Área Metropolitana do Porto;2041.27
11A0104: Arouca;329.11
11A0107: Espinho;21.06
11A1304: Gondomar;131.92
11A1306: Maia;82.94
11A1308: Matosinhos;62.42
11A0113: Oliveira de Azeméis;161.1
11A1310: Paredes;156.76
11A1312: Porto;41.42
11A1313: Póvoa de Varzim;82.21
11A0109: Santa Maria da Feira;215.88
11A1314: Santo Tirso;136.56
11A0116: São João da Madeira;7.94
11A1318: Trofa;72.02
11A0119: Vale de Cambra;147.33
11A1315: Valongo;75.12
11A1316: Vila do Conde;149.03
11A1317: Vila Nova de Gaia;168.46
11B: Alto Tâmega;2921.91
11B1702: Boticas;321.96
11B1703: Chaves;591.23
11B1706: Montalegre;805.46
11B1709: Ribeira de Pena;217.46
11B1712: Valpaços;548.74
11B1713: Vila Pouca de Aguiar;437.07
11C: Tâmega e Sousa;1831.52
11C1301: Amarante;301.33
11C1302: Baião;174.53
11C0106: Castelo de Paiva;115.01
11C0305: Celorico de Basto;181.07
11C1804: Cinfães;239.29
11C1303: Felgueiras;115.74
11C1305: Lousada;96.08
11C1307: Marco de Canaveses;201.89
11C1309: Paços de Ferreira;70.99
11C1311: Penafiel;212.24
11C1813: Resende;123.35
11D: Douro;4031.58
11D1701: Alijó;297.6
11D1801: Armamar;117.24
11D0403: Carrazeda de Ansiães;279.24
11D0404: Freixo de Espada à Cinta;244.14
11D1805: Lamego;165.42
11D1704: Mesão Frio;26.65
11D1807: Moimenta da Beira;219.97
11D1707: Murça;189.37
11D1812: Penedono;133.71
11D1708: Peso da Régua;94.86
11D1710: Sabrosa;156.92
11D1711: Santa Marta de Penaguião;69.28
11D1815: São João da Pesqueira;266.11
11D1818: Sernancelhe;228.61
11D1819: Tabuaço;133.86
11D1820: Tarouca;100.08
11D0409: Torre de Moncorvo;531.56
11D0914: Vila Nova de Foz Côa;398.15
11D1714: Vila Real;378.8
11E: Terras de Trás-os-Montes;5543.6
11E0401: Alfândega da Fé;321.95
11E0402: Bragança;1173.57
11E0405: Macedo de Cavaleiros;699.14
11E0406: Miranda do Douro;487.18
11E0407: Mirandela;658.96
11E0408: Mogadouro;760.65
11E0410: Vila Flor;265.81
11E0411: Vimioso;481.59
11E0412: Vinhais;694.75
16: Centro;28199.35
16B: Oeste;2220.16
16B1001: Alcobaça;408.14
16B1101: Alenquer;304.22
