Location;CrimeRate;CrimesAgainstPhysicalIntegrity;TheftOrRobbery;Carjacking;DrunkDriving;DrivingWithoutLicense;CrimesAgainstNationalHeritage
1111601: Arcos de Valdevez;29.3;6;0;1.6;1.9;.7;11.7
1111602: Caminha;29.3;4.6;? ?;3.2;1.8;.6;14
1111603: Melgaço;26.5;4;? ?;.6;1.6;.6;11.5
1111604: Monção;17.9;3.3;0;1.4;.7;.6;7.3
1111605: Paredes de Coura;25;3.2;0;.7;2.7;.6;11.3
1111606: Ponte da Barca;23;4.3;? ?;1.1;1.4;.3;7.3
1111607: Ponte de Lima;19.9;3.3;? ?;1.9;.9;.3;9.9
1111608: Valença;34.4;4.8;.2;2;2.3;1;15.2
1111609: Viana do Castelo;26.5;4.9;.2;2.1;1.6;1;12.4
1111610: Vila Nova de Cerveira;30.6;5.5;0;1.9;2.4;1.3;14.2
1120301: Amares;24;5.2;? ?;1.9;1.5;.6;10.2
1120302: Barcelos;19.6;4.2;.1;1.8;.7;.4;9.9
1120303: Braga;25.4;4.2;.5;3.9;.7;.4;15.1
1120306: Esposende;25;3.6;? ?;3.7;.8;.8;14.9
1120310: Terras de Bouro;26;3;0;4.3;1.9;0;11.7
1120313: Vila Verde;28.7;4.3;.1;2.9;.7;.6;13.9
1190304: Cabeceiras de Basto;21.9;4.3;? ?;.6;.9;? ?;8.2
1190307: Fafe;23;3.8;.1;1.5;1.3;.8;10.9
1190308: Guimarães;19;3.8;.2;2.5;.8;.4;9.7
1191705: Mondim de Basto;22.4;4.5;0;.9;.7;? ?;9.7
1190309: Póvoa de Lanhoso;24.3;4.3;? ?;2.5;1.8;.5;10.1
1190311: Vieira do Minho;25.6;4.8;? ?;1.1;1.2;1;10.1
1190312: Vila Nova de Famalicão;21.5;4.2;.3;2.6;1.5;.6;10.6
1190314: Vizela;17.5;2.8;.1;1.3;1.5;.9;6.2
11A0104: Arouca;21;4.3;0;.8;1.4;.7;7
11A0107: Espinho;32.2;6.8;1;3.3;.5;.3;16.3
11A1304: Gondomar;20.7;4.5;.6;3.1;.7;.9;10.1
11A1306: Maia;26.8;3.3;.5;6.5;.9;.9;18
11A1308: Matosinhos;28.5;4.6;.8;6.5;.3;.8;17.5
11A0113: Oliveira de Azeméis;19.1;4.2;.1;1.2;2.8;.8;6.8
11A1310: Paredes;19.4;3.9;.3;2.4;.7;.8;9.6
11A1312: Porto;56.2;6.6;2.2;15.1;1;1.8;36.5
11A1313: Póvoa de Varzim;24;4.4;.4;4.4;.4;.3;14.6
