Location;PurchasePower
1111601: Arcos de Valdevez;67.78
1111602: Caminha;78.91
1111603: Melgaço;62.02
1111604: Monção;70.16
1111605: Paredes de Coura;66.39
1111606: Ponte da Barca;64.43
1111607: Ponte de Lima;71.04
1111608: Valença;82.66
1111609: Viana do Castelo;93.09
1111610: Vila Nova de Cerveira;84.24
1120301: Amares;70.88
1120302: Barcelos;78.87
1120303: Braga;106.97
1120306: Esposende;83.83
1120310: Terras de Bouro;63.16
1120313: Vila Verde;66.79
1190304: Cabeceiras de Basto;65.41
1190307: Fafe;75.25
1190308: Guimarães;91.39
1191705: Mondim de Basto;59.55
1190309: Póvoa de Lanhoso;69.43
1190311: Vieira do Minho;67.24
1190312: Vila Nova de Famalicão;88.79
1190314: Vizela;84.08
11A0104: Arouca;70.77
11A0107: Espinho;103
11A1304: Gondomar;84.09
11A1306: Maia;110.66
11A1308: Matosinhos;122.96
11A0113: Oliveira de Azeméis;83.14
11A1310: Paredes;79.82
11A1312: Porto;157.82
11A1313: Póvoa de Varzim;95.53
11A0109: Santa Maria da Feira;84.82
11A1314: Santo Tirso;85.75
11A0116: São João da Madeira;135.36
11A1318: Trofa;92.7
11A0119: Vale de Cambra;86.89
11A1315: Valongo;91.66
11A1316: Vila do Conde;96.17
11A1317: Vila Nova de Gaia;100.11
11B1702: Boticas;59
11B1703: Chaves;79.15
11B1706: Montalegre;62.42
11B1709: Ribeira de Pena;63.27
11B1712: Valpaços;59.42
11B1713: Vila Pouca de Aguiar;63.51
11C1301: Amarante;71.82
11C1302: Baião;58.19
11C0106: Castelo de Paiva;65.71
11C0305: Celorico de Basto;56.11
11C1804: Cinfães;56.87
11C1303: Felgueiras;81.62
11C1305: Lousada;71.09
11C1307: Marco de Canaveses;74.12
11C1309: Paços de Ferreira;79.35
11C1311: Penafiel;78.91
11C1813: Resende;59.49
11D1701: Alijó;63.59
11D1801: Armamar;63.32
11D0403: Carrazeda de Ansiães;62.99
11D0404: Freixo de Espada à Cinta;63.15
11D1805: Lamego;81.44
11D1704: Mesão Frio;69.49
11D1807: Moimenta da Beira;66.29
11D1707: Murça;61.17
11D1812: Penedono;62.09
11D1708: Peso da Régua;82.46
11D1710: Sabrosa;61.93
11D1711: Santa Marta de Penaguião;58.73
11D1815: São João da Pesqueira;64.59
11D1818: Sernancelhe;58.81
11D1819: Tabuaço;55.32
11D1820: Tarouca;63.44
11D0409: Torre de Moncorvo;62.31
11D0914: Vila Nova de Foz Côa;68.01
11D1714: Vila Real;98.13
11E0401: Alfândega da Fé;66.03
11E0402: Bragança;96.5
