Rooms,Bathrooms,ProprietyType,District,AverageSellPrice,AverageRentPrice
0,1,Apartament, Aveiro,126380.0,476.80555555555554
0,2,Apartament, Aveiro,204433.33333333334,606.25
1,1,Apartament, Aveiro,148788.0070546737,533.6704545454545
1,2,Apartament, Aveiro,163364.0625,657.1428571428571
2,1,Apartament, Aveiro,158429.49877750612,561.9565217391304
2,2,Apartament, Aveiro,215742.345,706.5555555555555
2,3,Apartament, Aveiro,270474.6478873239,866.6666666666666
3,1,Apartament, Aveiro,167859.3023255814,600.0
3,2,Apartament, Aveiro,199043.92572062084,701.4166666666666
3,3,Apartament, Aveiro,288511.3213213213,688.75
4,2,Apartament, Aveiro,229108.33333333334,14360.0
4,3,Apartament, Aveiro,343785.2594339623,1150.0
5,1,Apartament, Aveiro,280000.0,250.0
0,1,House, Aveiro,86450.0,200.0
1,1,House, Aveiro,59237.16216216216,312.5
2,1,House, Aveiro,85755.88311688312,583.3333333333334
2,2,House, Aveiro,142197.74736842106,150000.0
2,3,House, Aveiro,227454.54545454544,600.0
3,1,House, Aveiro,108812.9705882353,512.5
3,2,House, Aveiro,192601.88461538462,777.5
4,2,House, Aveiro,176889.79268292684,1016.6666666666666
4,3,House, Aveiro,293803.36363636365,1380.0
4,4,House, Aveiro,326759.656,1250.0
1,1,Apartament, Beja,70227.27272727272,400.0
2,1,Apartament, Beja,90902.48611111111,400.0
3,2,Apartament, Beja,113478.66216216216,410.0
1,1,House, Beja,50242.1875,337.5
1,2,House, Beja,54500.0,350.0
2,3,House, Beja,236392.63157894736,250.0
3,1,House, Beja,82569.79865771811,300.0
3,2,House, Beja,134037.47252747254,637.5
3,3,House, Beja,211386.84210526315,900.0
6,1,House, Beja,105750.0,600.0
0,1,Apartament, Braga,117419.34782608696,436.0810810810811
0,3,Apartament, Braga,185000.0,1100.0
1,1,Apartament, Braga,120342.11480362537,516.3225806451613
1,2,Apartament, Braga,176343.5483870968,693.3333333333334
2,1,Apartament, Braga,131903.15384615384,566.632911392405
2,2,Apartament, Braga,169129.80555555556,650.8730158730159
2,3,Apartament, Braga,226209.7014925373,850.0
3,1,Apartament, Braga,146710.7142857143,566.25
3,2,Apartament, Braga,168835.904159132,1845.3731343283582
3,3,Apartament, Braga,228086.94379844962,844.4827586206897
3,4,Apartament, Braga,264263.15789473685,800.0
4,1,Apartament, Braga,287325.0,680.0
4,2,Apartament, Braga,203532.54545454544,880.0
4,3,Apartament, Braga,276000.21014492755,928.5714285714286
4,4,Apartament, Braga,338936.5,962.5
5,3,Apartament, Braga,233225.0,1075.0
0,1,House, Braga,95876.19047619047,250.0
1,1,House, Braga,76305.71428571429,300.0
1,2,House, Braga,85166.66666666667,500.0
2,1,House, Braga,97864.8322147651,385.0
2,2,House, Braga,144017.39130434784,541.6666666666666
2,3,House, Braga,218000.0,450.0
3,1,House, Braga,133739.4685990338,473.3333333333333
3,2,House, Braga,195576.10722610724,1236.0
3,3,House, Braga,251539.17351598173,1237.0
3,4,House, Braga,294822.0732484076,933.3333333333334
4,3,House, Braga,264107.8431372549,938.0
4,4,House, Braga,345552.13675213675,1262.5
5,4,House, Braga,349610.25641025644,1350.0
6,4,House, Braga,359636.36363636365,2550.0
1,1,Apartament, Bragança,77800.0,375.0
2,1,Apartament, Bragança,81562.5,325.0
3,2,Apartament, Bragança,133272.3230769231,400.0
3,3,Apartament, Bragança,152500.0,65.0
5,3,Apartament, Bragança,116500.0,500.0
1,1,House, Bragança,45321.42857142857,242.5
2,1,House, Bragança,43132.41379310345,55.0
3,2,House, Bragança,142001.2068965517,400.0
3,3,House, Bragança,163264.70588235295,650.0
0,1,Apartament, Castelo Branco,60000.0,289.44444444444446
1,1,Apartament, Castelo Branco,85430.76923076923,359.0
1,2,Apartament, Castelo Branco,91444.44444444444,367.5
2,1,Apartament, Castelo Branco,74413.4,294.0
2,2,Apartament, Castelo Branco,122249.31506849315,550.0
3,1,Apartament, Castelo Branco,77875.0,366.6666666666667
3,2,Apartament, Castelo Branco,114505.97321428571,475.4166666666667
4,3,Apartament, Castelo Branco,180415.86666666667,750.0
5,2,Apartament, Castelo Branco,151666.66666666666,433.3333333333333
1,1,House, Castelo Branco,35828.085106382976,317.5
1,2,House, Castelo Branco,38500.0,100.0
2,1,House, Castelo Branco,51414.61983471074,347.5
3,1,House, Castelo Branco,53422.142857142855,400.0
3,2,House, Castelo Branco,94640.24390243902,362.5
4,2,House, Castelo Branco,107794.82142857143,600.0
4,3,House, Castelo Branco,165342.85714285713,600.0
0,1,Apartament, Coimbra,93293.75,395.0833333333333
0,2,Apartament, Coimbra,79500.0,525.0
1,1,Apartament, Coimbra,118036.9918699187,471.3370786516854
2,1,Apartament, Coimbra,122881.20280811233,546.551724137931
2,2,Apartament, Coimbra,181629.7004830918,680.625
2,3,Apartament, Coimbra,266825.0,800.0
3,1,Apartament, Coimbra,138344.92372881356,550.2857142857143
3,2,Apartament, Coimbra,173402.2698130009,743.5227272727273
3,3,Apartament, Coimbra,286055.787037037,700.0
4,1,Apartament, Coimbra,131406.25,730.0
4,2,Apartament, Coimbra,184688.0733944954,694.5454545454545
4,3,Apartament, Coimbra,305293.1975308642,1025.0
5,2,Apartament, Coimbra,249791.66666666666,180.0
5,3,Apartament, Coimbra,273547.61904761905,762.5
7,2,Apartament, Coimbra,390000.0,862.5
0,1,House, Coimbra,76399.93333333333,300.0
1,1,House, Coimbra,52868.53333333333,431.25
2,1,House, Coimbra,58178.37579617834,519.2857142857143
2,2,House, Coimbra,111140.80459770115,630.0
3,1,House, Coimbra,73104.51811594203,474.2857142857143
3,2,House, Coimbra,147714.56737588652,750.0
5,4,House, Coimbra,389460.31746031746,1400.0
10,4,House, Coimbra,403333.3333333333,3000.0
0,1,Apartament, Faro,143717.85714285713,529.3478260869565
0,2,Apartament, Faro,253636.36363636365,180.0
1,1,Apartament, Faro,186774.5424896647,602.9777777777778
1,2,Apartament, Faro,273354.32551319647,818.75
2,1,Apartament, Faro,202086.80642201836,2371.285714285714
2,2,Apartament, Faro,296291.5950439147,880.1494252873563
2,3,Apartament, Faro,382784.49242424243,1475.0
3,1,Apartament, Faro,280934.7551020408,735.7142857142857
3,2,Apartament, Faro,302408.3071828833,8100.731707317073
3,3,Apartament, Faro,399858.24294670846,1170.0
3,4,Apartament, Faro,493946.8085106383,1400.0
4,1,Apartament, Faro,439125.0,575.0
4,2,Apartament, Faro,281996.6857142857,975.0
5,2,Apartament, Faro,278400.0,1250.0
0,1,House, Faro,155168.75,375.0
1,1,House, Faro,160315.31818181818,446.55555555555554
1,2,House, Faro,211026.95652173914,640.0
2,1,House, Faro,210162.74647887325,538.9285714285714
2,2,House, Faro,316162.91282051284,940.0
2,3,House, Faro,400427.03166226915,1190.0
3,1,House, Faro,263309.0871212121,875.0
3,2,House, Faro,369867.2205005959,1875.0
3,3,House, Faro,441787.0257186082,1571.5384615384614
3,4,House, Faro,492168.28388746805,1585.7142857142858
4,2,House, Faro,359533.2742474916,1062.5
4,3,House, Faro,475606.9846625767,2200.0
4,4,House, Faro,524436.7041522491,2009.090909090909
5,2,House, Faro,348545.71428571426,1200.0
5,3,House, Faro,458695.20547945204,3000.0
5,4,House, Faro,492106.018957346,2700.0
7,2,House, Faro,361000.0,300.0
1,1,Apartament, Guarda,59214.28571428572,200.0
2,1,Apartament, Guarda,70633.33333333333,210.0
2,2,Apartament, Guarda,115488.88888888889,350.0
3,2,Apartament, Guarda,95611.0,483.3333333333333
2,1,House, Guarda,49898.34920634921,220.0
5,3,House, Guarda,151636.36363636365,1200.0
2,1,Apartament, Ilha Terceira,112909.53846153847,390.0
3,2,Apartament, Ilha Terceira,144444.44444444444,800.0
3,2,House, Ilha Terceira,167697.36842105264,600.0
0,1,Apartament, Ilha da Madeira,118764.70588235294,474.375
1,1,Apartament, Ilha da Madeira,152029.78056426332,690.6756756756756
1,2,Apartament, Ilha da Madeira,246850.0,650.0
2,1,Apartament, Ilha da Madeira,146766.75324675324,745.8333333333334
2,2,Apartament, Ilha da Madeira,241078.0394736842,1175.1666666666667
2,3,Apartament, Ilha da Madeira,311221.5189873418,1500.0
3,2,Apartament, Ilha da Madeira,290419.4623655914,1102.2727272727273
3,3,Apartament, Ilha da Madeira,388474.45255474455,2250.0
4,3,Apartament, Ilha da Madeira,477702.38095238095,1825.0
4,4,Apartament, Ilha da Madeira,539587.5,1500.0
1,1,House, Ilha da Madeira,112098.07692307692,421.6666666666667
2,1,House, Ilha da Madeira,130334.41739130435,666.6666666666666
3,2,House, Ilha da Madeira,244813.04545454544,725.0
3,3,House, Ilha da Madeira,343429.9342105263,1560.0
3,4,House, Ilha da Madeira,448537.88659793814,1500.0
4,2,House, Ilha da Madeira,215580.64516129033,750.0
4,3,House, Ilha da Madeira,335089.26470588235,2000.0
4,4,House, Ilha da Madeira,445777.77777777775,2300.0
5,2,House, Ilha da Madeira,237187.5,2800.0
2,1,House, Ilha de Porto Santo,174406.25,600.0
1,1,Apartament, Ilha de São Miguel,106141.73684210527,531.1111111111111
2,1,Apartament, Ilha de São Miguel,138562.19512195123,665.0
2,2,Apartament, Ilha de São Miguel,247267.94871794872,1150.0
3,1,Apartament, Ilha de São Miguel,119711.11111111111,683.3333333333334
3,2,Apartament, Ilha de São Miguel,216378.57142857142,975.0
4,3,Apartament, Ilha de São Miguel,294271.4285714286,650.0
1,1,House, Ilha de São Miguel,67009.73076923077,450.0
1,2,House, Ilha de São Miguel,97500.0,550.0
2,1,House, Ilha de São Miguel,78085.4574468085,400.0
2,2,House, Ilha de São Miguel,212086.625,600.0
4,2,House, Ilha de São Miguel,189052.48979591837,600.0
0,1,Apartament, Leiria,69057.14285714286,350.0
1,1,Apartament, Leiria,120433.83084577114,399.2
1,2,Apartament, Leiria,155193.33333333334,533.3333333333334
2,1,Apartament, Leiria,140226.73383084577,452.72727272727275
2,2,Apartament, Leiria,196011.88340807174,522.1818181818181
3,1,Apartament, Leiria,146964.70588235295,391.0
3,2,Apartament, Leiria,173888.2065359477,543.0882352941177
3,3,Apartament, Leiria,246623.86363636365,1100.0
4,2,Apartament, Leiria,203000.0,542.5
4,3,Apartament, Leiria,253012.19512195123,637.5
5,2,Apartament, Leiria,214225.0,783.3333333333334
1,1,House, Leiria,72160.0,440.0
1,2,House, Leiria,178857.14285714287,250.0
2,1,House, Leiria,82254.28703703704,422.85714285714283
3,2,House, Leiria,221968.4027237354,600.0
3,3,House, Leiria,273274.72292191436,900.0
4,2,House, Leiria,208502.34567901236,850.0
4,4,House, Leiria,367893.5260115607,800.0
5,3,House, Leiria,255953.59420289856,800.0
5,4,House, Leiria,355087.85714285716,2800.0
0,1,Apartament, Lisboa,280554.39790575916,728.801652892562
0,2,Apartament, Lisboa,456625.0,925.0
1,1,Apartament, Lisboa,316752.46195234434,1114.325849514563
1,2,Apartament, Lisboa,478436.7469879518,1507.1338582677165
1,3,Apartament, Lisboa,546875.0,725.0
2,1,Apartament, Lisboa,228310.62133645956,1286.093085106383
2,2,Apartament, Lisboa,407872.4765771393,2118.3773333333334
2,3,Apartament, Lisboa,509453.1073446328,2302.560975609756
2,4,Apartament, Lisboa,586666.6666666666,3521.4285714285716
3,1,Apartament, Lisboa,264464.99557522126,1075.8962264150944
3,2,Apartament, Lisboa,355880.2793367347,2172.2292682926827
3,3,Apartament, Lisboa,530852.4405144694,2498.744939271255
3,4,Apartament, Lisboa,626591.4285714285,4220.833333333333
4,1,Apartament, Lisboa,364016.12903225806,1291.6666666666667
4,2,Apartament, Lisboa,422308.64734299516,4063.1005917159764
4,3,Apartament, Lisboa,495964.14634146343,2463.150684931507
4,4,Apartament, Lisboa,637027.1028037383,4199.626865671642
5,1,Apartament, Lisboa,441055.55555555556,1100.0
5,2,Apartament, Lisboa,462711.53846153844,1874.4186046511627
5,3,Apartament, Lisboa,490116.6666666667,2759.2105263157896
5,4,Apartament, Lisboa,592000.0,3335.714285714286
6,2,Apartament, Lisboa,460000.0,2020.0
6,3,Apartament, Lisboa,343749.875,2326.777777777778
6,4,Apartament, Lisboa,553166.3333333334,2140.0
7,2,Apartament, Lisboa,647000.0,3060.0
8,2,Apartament, Lisboa,626000.0,4990.0
