HM,Locations,Area,CrimeRate,PurchasePower,PopulationDensity,TotalCrimes
330, Castelo Branco,1438.19,27.3,95.84,0.2294550789534067,9.009
33401, Beja,1146.48,27.8,105.31,29.133521736096572,928.5478
34580, Bragança,1173.57,24.5,96.5,29.465647554044498,847.21
26471, Guarda,712.1,19.9,96.2,37.17314983850583,526.7728999999999
53568, Évora,1307.08,20.6,117.31,40.98295437157634,1103.5008
17375, Vila Real,378.8,22.4,98.13,45.86853220696938,389.2
22368, Portalegre,447.14,23.0,104.12,50.02460079617122,514.464
25876, Viseu,507.1,22.7,94.41,51.02741076710708,587.3851999999999
58770, Santarém,552.54,28.2,101.4,106.3633402106635,1657.314
128640, Leiria,565.09,22.2,103.43,227.64515386929514,2855.808
85864, Viana do Castelo,319.02,26.5,93.09,269.1492696382672,2275.396
67566, Faro,202.57,46.9,132.5,333.5439601125537,3168.8453999999997
80880, Aveiro,197.58,28.8,123.09,409.3531733981172,2329.344
140796, Coimbra,319.4,24.2,128.71,440.81402629931125,3407.2632
123684, Setúbal,230.33,34.4,107.54,536.9860634741458,4254.7296
193333, Braga,183.4,25.4,106.97,1054.1603053435115,4910.6582
544851, Lisboa,100.05,49.7,219.63,5445.787106446777,27079.0947
231962, Porto,41.42,56.2,157.82,5600.241429261227,13036.2644
