Locations,CrimeRate,PurchasePower,PopulationDensity,TotalCrimes,AverageSellPrice,AverageRentPrice
 Amadora,27.0,100.59,7221.152228763666,4636.413,,
 Porto,56.2,157.82,5600.241429261227,13036.2644,,
 Lisboa,49.7,219.63,5445.787106446777,27079.0947,,
 Oeiras,22.5,156.53,3744.5945945945946,3865.545,,
 São João da Madeira,27.2,135.36,2791.183879093199,602.8064,,
 Matosinhos,28.5,122.96,2766.2447933354692,4921.0665,,
 Almada,34.0,108.69,2533.923725182117,6031.6,310000.0,1018.75
 Cascais,25.2,122.11,2198.501026694045,5396.1768,,
 Barreiro,39.4,100.02,2153.3937895026106,3087.4628,,
 Vila Nova de Gaia,27.3,100.11,1805.4671732161937,8303.2677,,
 Entroncamento,22.4,98.52,1466.8608885651856,451.136,,
 Funchal,27.8,114.28,1389.648386250328,2944.5482,,
 Gondomar,20.7,84.09,1245.1106731352336,3400.0785,,
 Sintra,26.2,94.14,1209.015443410707,10111.994799999999,,
 Braga,25.4,106.97,1054.1603053435115,4910.6582,,
 Vizela,17.5,84.08,967.7327935222672,418.3025,,
 Póvoa de Varzim,24.0,95.53,782.3865709767668,1543.68,474000.0,663.5714285714286
 Vila Nova de Famalicão,21.5,88.79,662.6816806389206,2872.185,,
 Guimarães,19.0,91.39,650.838174273859,2980.188,,
 Santa Maria da Feira,24.0,84.82,633.3148045210302,3281.28,206821.42857142858,515.0
 Setúbal,34.4,107.54,536.9860634741458,4254.7296,,
 Trofa,19.4,92.7,536.1288530963621,749.0727999999999,184666.66666666666,
 Ílhavo,29.0,88.55,534.0364725095263,1137.989,,
 Santo Tirso,21.0,85.75,496.37521968365553,1423.485,185000.0,450.0
 Lousada,19.5,71.09,493.34929225645294,924.3195,,
 Felgueiras,22.7,81.62,482.83221012614484,1268.5440999999998,,
 Coimbra,24.2,128.71,440.81402629931125,3407.2632,,
 Oliveira de Azeméis,19.1,83.14,410.9993792675357,1264.6492000000003,154437.98449612403,150.0
 Aveiro,28.8,123.09,409.3531733981172,2329.344,,
 Ovar,23.3,88.9,372.21394719025056,1280.9408,77500.0,390.0
 Esposende,25.0,83.83,368.357614505817,878.625,204666.66666666666,450.0
 Valongo,22.3,91.66,345.0479233226837,578.016,196225.0,466.6666666666667
 Faro,46.9,132.5,333.5439601125537,3168.8453999999997,,
 Câmara de Lobos,28.2,58.27,317.270461951313,466.7664,100000.0,475.0
 Albufeira,61.3,112.04,313.93430968292336,2706.8854,,
 Barcelos,19.6,78.87,308.2000527843758,2288.8292,241400.0,450.0
 Portimão,35.8,103.45,270.58661979567177,1763.6154,369736.84210526315,3500.0
 Viana do Castelo,26.5,93.09,269.1492696382672,2275.396,,
 Sesimbra,38.5,90.03,268.0615164520744,2019.9025,,
 Marco de Canaveses,20.0,74.12,245.49507157362922,991.26,,
 Estarreja,28.8,82.05,242.47943052602386,755.3952,,
 Leiria,22.2,103.43,227.64515386929514,2855.808,360000.0,783.3333333333334
 Amares,24.0,70.88,226.85784014643073,446.184,,
 Torres Vedras,23.5,95.29,204.17536534446765,1953.555,,
 Caldas da Rainha,20.9,98.05,199.0613633697055,1063.7682,,
 Vila do Conde,27.7,96.17,197.16835536469168,813.9368,289000.0,720.0
 Vila Real de Santo António,41.6,91.83,191.88571428571427,488.9248,361000.0,616.6666666666666
 Loures,25.4,92.26,180.89571872757713,768.4262,48500.0,1150.0
 Lourinhã,23.8,78.29,178.43989943602637,625.0118,,
 Mealhada,22.5,86.91,174.93222483282125,435.555,55000.0,650.0
 Ribeira Grande,57.6,71.12,174.37690813211213,1809.4464,,
 Amarante,21.5,71.82,173.0030199449109,1120.8165,,
 Marinha Grande,33.1,98.49,172.6355140186916,1069.9906,211555.55555555556,850.0
 Peniche,26.8,85.85,170.2901353965184,353.9208,155250.0,180.0
 Póvoa de Lanhoso,24.3,69.43,161.8046787968808,529.4241,,
 Montijo,33.6,99.23,159.86460902988927,1872.5952000000002,,
 Lagos,40.9,93.78,157.3501103338185,1370.7225999999998,,
 Albergaria-a-Velha,32.7,84.46,156.40977206900894,812.3007000000001,,
 Figueira da Foz,25.8,94.96,155.60480147737766,1521.7356000000002,,
 Peso da Régua,18.6,82.46,153.415559772296,270.68580000000003,,
 Lamego,17.9,81.44,147.18897352194415,435.82919999999996,,
 Cartaxo,22.1,86.51,146.74717076563192,512.9631,,
 Alenquer,21.7,89.22,146.03905068700283,964.0876,,
 Vale de Cambra,18.4,86.89,144.430869476685,391.5336,,
 Machico,21.8,78.16,144.23443223443223,214.59920000000002,249000.0,
 Angra do Heroísmo,30.7,94.74,141.5439330543933,1038.5502999999999,,
 Bombarral,21.2,83.46,139.58812575309452,270.1516,,
 Vagos,20.3,72.12,138.8855202522435,464.9715,,
 Águeda,26.8,86.49,137.60252930473948,1236.3912,,
 Paços de Ferreira,19.7,79.35,136.3431469221017,190.6763,262000.0,400.0
 Castelo de Paiva,16.5,65.71,135.6142944091818,257.3505,,
 Alcobaça,21.7,86.72,134.71112853432646,1193.0877,,
 Mesão Frio,20.8,69.49,133.39587242026266,73.944,257250.0,600.0
 Vila Franca do Campo,28.9,65.02,132.4355521354367,298.42139999999995,,
 Paredes,19.4,79.82,131.38555754018884,399.56239999999997,99000.0,235000.0
 Ponte de Lima,19.9,71.04,128.66198282591725,819.9596,,
 Anadia,28.3,78.68,127.13843881272216,779.4386,,
 Torres Novas,24.2,96.77,126.47777777777777,826.4057999999999,,
 Nazaré,28.9,85.59,126.10699987868493,300.4155,246500.0,520.0
 Lousã,20.0,80.57,122.91907514450867,340.24,,
 Porto Santo,30.6,93.53,120.85285848172447,157.83480000000003,153792.3076923077,600.0
 Vila da Praia da Vitória,29.0,74.73,120.80362125627828,564.978,,
 Condeixa-a-Nova,13.7,77.91,120.6677724093171,229.24209999999997,,
 Arruda dos Vinhos,23.2,91.0,119.07388404309903,215.3656,153200.0,800.0
 Valença,34.4,82.66,116.40058055152396,469.0096,106763.63636363637,450.0
 Caminha,29.3,78.91,115.93905654849105,463.7604,,
 Olhão,43.4,81.13,108.5740486015589,616.6271999999999,466250.0,550.0
 Montemor-o-Velho,16.8,70.98,107.38556953179594,413.06160000000006,,
 Ourém,21.1,83.64,106.97897667274647,940.5536000000001,,
 Santarém,28.2,101.4,106.3633402106635,1657.314,,
 Tomar,25.8,84.97,103.76993166287016,940.2552000000001,,
 Alcochete,30.9,118.78,103.07728264256777,408.8379,508111.1111111111,836.6666666666666
 Baião,18.6,58.19,100.42399587463473,326.0022,,
 Alcanena,23.5,86.08,97.99732977303071,293.233,,
 Celorico de Basto,19.2,56.11,97.56447782625504,339.1872,,
 Ribeira Brava,28.9,68.43,95.40177207454936,180.4805,146600.0,
 Santa Comba Dão,23.5,71.47,95.06029477445288,250.087,,
 Loulé,51.3,105.92,94.76999227414983,3712.7349,,
 Ponta do Sol,13.4,55.19,92.02334630350195,57.043800000000005,107600.0,300.0
 Salvaterra de Magos,29.8,77.46,88.68117902676997,644.6336,,
 Porto de Mós,19.8,80.18,88.64912347706527,459.57779999999997,,
 Santa Marta de Penaguião,11.1,58.73,88.10623556581986,67.75439999999999,,
 Cantanhede,29.0,79.79,87.54093327875563,992.322,,
 Batalha,18.5,84.76,85.27364146199962,163.1515,92450.0,240.0
 Monção,17.9,70.16,84.3736690170839,319.1391,,
 Óbidos,21.3,75.49,84.35181914517838,254.322,,
 Covilhã,26.4,86.58,83.60871130309575,1226.3591999999999,,
 Mangualde,25.7,82.42,83.43519109732738,470.1558,105000.0,270.0
 Oliveira do Hospital,19.4,74.52,82.81170049462732,376.76739999999995,,
 Vila Nova de Cerveira,30.6,84.24,82.32691066654374,273.258,,
 Vila Nova de Poiares,19.7,70.54,80.67495559502665,134.2161,,
 Cadaval,23.6,70.83,76.51666761964664,315.8152,,
 Penafiel,19.3,78.91,73.9728609121749,303.01,170000.0,450.0
 Vila Nova da Barquinha,20.1,72.25,73.75328083989501,73.42530000000001,186500.0,300.0
 Tarouca,17.8,63.44,73.6810551558753,131.2572,,
 São Brás de Alportel,36.6,84.78,73.4563473951881,412.33560000000006,195000.0,250.0
 Alpiarça,26.8,77.14,73.25922818791946,187.22480000000002,61500.0,
 Oliveira do Bairro,30.7,79.7,73.21346770499314,196.26510000000002,97500.0,500.0
 Mafra,22.8,96.28,71.29093091033774,474.05760000000004,165500.0,650.0
 Fafe,23.0,75.25,70.56782910352382,355.58,138000.0,
 Tondela,21.9,74.95,69.87500673455094,568.0640999999999,,
 Sobral de Monte Agraço,35.2,103.37,66.94817658349328,122.7776,189166.66666666666,
 Oliveira de Frades,24.6,77.49,65.42827657378741,233.946,89750.0,270.0
 Sines,41.5,128.74,64.54500737825873,544.563,395000.0,455.0
 Arouca,21.0,70.77,64.27638175685941,444.234,,
 Chaves,25.1,79.15,63.635133535172436,944.3373,,
 Paredes de Coura,25.0,66.39,62.493668138070774,215.9,,
 Ponte da Barca,23.0,64.43,60.72154192521003,254.334,109000.0,265.0
 Vila Franca de Xira,22.3,98.38,57.688802287941165,409.3388,395000.0,610.0
 Miranda do Corvo,16.2,67.32,56.29055230257953,115.2468,42500.0,300.0
 Mira,30.7,72.2,56.13964363460453,213.7641,144000.0,
 Almeirim,31.7,86.17,55.72213218080317,392.35089999999997,77094.73684210527,
 Penalva do Castelo,19.3,58.36,54.637486973351194,141.662,,
 Belmonte,34.3,71.27,52.239811384304474,212.79719999999998,,
 Viseu,22.7,94.41,51.02741076710708,587.3851999999999,256166.66666666666,537.1875
 Portalegre,23.0,104.12,50.02460079617122,514.464,,
 Seia,27.3,76.15,49.9414721476279,594.0207,149000.0,
 Vouzela,22.6,63.97,49.501781196757705,216.68880000000001,,
 Abrantes,19.3,89.19,48.064195665253465,662.9743000000001,,
 Murtosa,25.7,69.26,48.02298536051443,90.207,150000.0,
 Vendas Novas,28.1,95.23,47.744952560816586,298.3658,127400.0,
 Arcos de Valdevez,29.3,67.78,46.31143878462913,607.3597000000001,,
 Rio Maior,25.5,90.24,45.904824754362814,319.2855,116583.33333333333,
 Vila Real,22.4,98.13,45.86853220696938,389.2,,
 Tavira,40.3,91.97,45.36632782509844,1109.7007999999998,,
 Espinho,32.2,103.0,45.15669515669516,30.622200000000003,700000.0,600.0
 Borba,26.1,73.86,44.273021557958536,167.7708,,
 São Pedro do Sul,15.8,68.74,43.384439031379856,239.1962,74950.0,500.0
 Golegã,23.8,82.59,42.587760910815945,85.4658,87900.0,550.0
 Velas,34.5,83.12,42.08553416254899,170.43,,
 Évora,20.6,117.31,40.98295437157634,1103.5008,,
 Penela,17.4,69.97,40.37833827893175,94.70819999999999,,
 Palmela,32.8,98.13,40.355177158582734,615.656,26000.0,475.0
 Castanheira de Pêra,24.4,65.62,39.64355249363487,64.5868,,
 Vila Viçosa,10.8,83.44,37.89900441342502,79.758,,
 Fundão,36.5,77.94,37.876321051128244,968.0165,64500.0,400.0
 Mondim de Basto,22.4,59.55,37.28498372849837,143.7184,39000.0,
 Guarda,19.9,96.2,37.17314983850583,526.7728999999999,15800.0,1200.0
 Nelas,25.2,77.1,36.89443958316761,116.87759999999999,78000.0,
 Mortágua,21.4,74.13,35.67162990683971,191.744,196875.0,
 Elvas,42.7,88.98,32.87395650176623,886.1531000000001,,
 Melgaço,26.5,62.02,32.637985309548796,206.064,,
 Campo Maior,50.8,94.02,32.54449838187703,408.686,,
 Vila do Bispo,57.3,64.62,31.9557690159723,327.87059999999997,,
 Azambuja,36.5,106.2,31.451305870707376,301.5265,29000.0,542.5
 Vila do Porto,23.0,89.7,31.138404376096606,69.391,110000.0,350.0
 Figueiró dos Vinhos,23.9,65.48,30.535055350553506,126.5744,,
 Bragança,24.5,96.5,29.465647554044498,847.21,,
 Beja,27.8,105.31,29.133521736096572,928.5478,,
 Santa Cruz da Graciosa,33.0,73.13,28.684470820969338,57.42,80000.0,
 Soure,15.7,70.67,28.14834377122161,117.1377,140000.0,
 Carregal do Sal,27.9,70.92,27.63281717854393,90.117,92500.0,
 Ribeira de Pena,21.2,63.27,27.071645360066217,124.8044,,
 Valpaços,27.5,59.42,26.814156066625358,404.635,,
 Celorico da Beira,25.8,65.04,26.624059542108245,169.81560000000002,,
 Vila Nova de Paiva,17.3,62.65,26.54816840426138,80.618,80000.0,
 Santiago do Cacém,22.5,92.3,26.235030999631967,625.5225,146500.0,785.0
 São João da Pesqueira,18.6,64.59,25.47818571267521,126.10800000000002,,
 Aguiar da Beira,16.8,67.42,25.284132127484643,87.83040000000001,,
 Sernancelhe,16.2,58.81,24.990157910852542,92.55059999999999,,
 Resende,22.0,59.49,24.961491690312123,67.738,140000.0,
 Estremoz,24.8,93.91,24.694433631763335,314.66240000000005,,
 Manteigas,15.7,63.85,23.84817183144778,45.671299999999995,,
 Moita,34.4,81.95,23.470865001809628,44.6168,32000.0,575.0
 Sardoal,28.5,68.62,23.44004340748779,61.56,140000.0,
 Trancoso,19.1,66.65,23.287784908165523,160.80290000000002,,
 Terras de Bouro,26.0,63.16,22.918618900021627,165.334,,
 Vila Flor,32.8,62.36,22.813287686693503,198.89919999999998,,
 Corvo,40.4,76.16,22.55990648743425,15.5944,200000.0,
 Santa Cruz das Flores,48.5,88.44,21.88689888591172,75.272,334000.0,
 Maia,26.8,110.66,21.60598022666988,48.0256,55500.0,
 Sever do Vouga,24.9,74.0,20.93470896211888,67.70309999999999,111333.33333333333,
 Penedono,16.7,62.09,20.42479994016902,45.607699999999994,,
 Ansião,13.9,73.46,20.023851439604748,49.0114,67000.0,330.0
 Madalena,32.3,89.09,19.6642196846112,93.4439,359500.0,887.5
 Marvão,25.5,64.82,19.515816655907035,77.0865,,
 Aljustrel,24.1,87.9,19.3665888716819,213.98390000000003,,
 Porto Moniz,26.4,56.92,19.126869271587072,41.8704,79000.0,
 Sátão,11.9,61.87,18.921461820342675,45.4699,85000.0,250.0
 Tábua,25.0,68.63,18.4093297962861,91.95,72214.14285714286,
 Ponte de Sor,32.9,84.38,18.16460444677329,501.8237,71500.0,275.0
 Proença-a-Nova,15.0,68.97,18.075366717248357,107.205,,
 Benavente,30.9,94.4,17.98879895661514,289.81109999999995,57858.333333333336,700.0
 Cuba,20.9,67.88,17.978964495322217,64.6646,174842.85714285713,
 Odivelas,18.8,89.3,17.78447626224567,8.8736,322831.77777777775,1300.0
 Povoação,25.4,66.28,17.64871722582464,47.7012,61950.0,
 Pedrógão Grande,31.3,67.94,17.52233009708738,70.61280000000001,208750.0,
 Mirandela,26.6,83.0,17.312128202015295,303.45279999999997,54000.0,400.0
 Odemira,28.6,81.69,17.158549343252353,844.3578,,
 Grândola,54.4,85.94,16.740925490955757,752.1887999999999,,
 Mêda,25.4,62.06,16.192973256423702,117.65279999999998,270000.0,
 Mação,19.9,68.81,16.043302165108255,127.69829999999999,56125.0,
 Silves,41.4,76.86,15.69126253565862,441.77939999999995,170166.66666666666,562.5
 Coruche,32.4,76.77,15.572903595884272,562.95,159441.125,350.0
 Boticas,21.5,59.0,15.536091439930427,107.543,,
 Reguengos de Monsaraz,22.8,89.44,14.60344827586207,154.49280000000002,128000.0,100.0
 Redondo,22.3,71.85,14.232361776406593,117.2757,95000.0,350.0
 Moura,23.2,77.45,13.84199653611001,307.79439999999994,,
 Sabugal,19.1,63.44,13.71216725416312,215.46710000000002,,
 Vila de Rei,22.8,66.24,13.53693552597233,59.120400000000004,89000.0,500.0
 Sertã,24.2,72.56,13.473462717972824,145.6598,49583.333333333336,390.0
 Freixo de Espada à Cinta,25.0,63.15,13.168673711804702,80.375,,
 Moimenta da Beira,26.2,66.29,12.924489703141338,74.4866,125000.0,
 Armamar,14.9,63.32,12.888092801091778,22.513900000000003,130000.0,
 Cinfães,19.7,56.87,12.867232228676501,60.656299999999995,46400.0,3250.0
 Montemor-o-Novo,23.2,86.75,12.817019067779427,366.6296,,
 Serpa,18.6,72.84,12.45262881795899,256.08480000000003,,
 Ferreira do Zêzere,17.6,67.78,12.15463809223658,40.7264,130000.0,290.0
 Castro Verde,20.3,102.1,12.078533295869626,139.6234,,
 Castro Daire,17.2,64.77,12.040945546644153,78.5008,47750.0,200.0
 Constância,16.8,83.05,11.91987059848202,16.0944,44100.0,
 Ferreira do Alentejo,32.5,72.97,11.841841378565588,249.47,,
 Castelo de Vide,26.0,81.63,11.781359707070324,81.146,,
 Gavião,24.8,71.82,11.534675311449812,84.27040000000001,45625.0,650.0
 Montalegre,35.8,62.42,11.520125145879373,332.18819999999994,,
 Arganil,23.6,68.2,11.5070304049994,90.388,49814.28571428572,300.0
 Tabuaço,11.1,55.32,11.482145525175556,17.0607,45000.0,
 Chamusca,22.8,71.72,11.44220586855404,194.62080000000003,,
 Nordeste,23.9,62.47,11.441805459741795,27.747899999999998,82950.0,
 Alvaiázere,24.4,66.51,11.228813559322035,43.968799999999995,109500.0,
 Lajes do Pico,21.9,70.03,11.093941149958148,37.7337,195000.0,
 Monchique,28.5,61.85,11.07007336200354,124.716,130625.0,
 Vieira do Minho,25.6,67.24,10.963777490297542,60.7488,250000.0,
 Mogadouro,18.6,67.93,10.91697889962532,154.45440000000002,129200.0,
 Castro Marim,33.9,71.74,10.886185347693127,111.0225,193502.9411764706,300.0
 Fornos de Algodres,19.2,58.81,10.87866108786611,27.456,23750.0,
 Aljezur,56.6,63.08,10.683153013910356,195.6096,421100.0,
 Gouveia,25.6,65.91,10.482019892884468,80.66560000000001,,
 Murça,24.1,61.17,10.37651159106511,47.3565,84000.0,200.0
 Nisa,21.6,73.16,10.337340188993887,128.54160000000002,,
 Calheta,15.2,77.12,10.082369713290037,19.3496,343875.0,600.0
 Alandroal,17.4,64.52,9.226431783002875,87.1218,,
 São Roque do Pico,41.8,81.51,8.96319190783928,53.3368,60000.0,
 Arronches,12.3,71.97,8.86381693945654,34.304700000000004,,
 Macedo de Cavaleiros,23.2,73.49,8.780787825042195,142.42479999999998,115000.0,250.0
 Alijó,19.9,63.59,8.689516129032258,51.4614,,
 Almodôvar,28.4,79.49,8.62472360775441,190.5356,,
 Barrancos,46.2,63.35,8.520365752285953,66.297,31000.0,
 Vidigueira,30.5,72.81,8.401503426929029,81.13,137375.0,
 Crato,22.6,72.78,8.101590172582712,72.885,,
 Lajes das Flores,23.3,74.78,8.022840827980014,13.0946,36400.0,
 Vila Nova de Foz Côa,33.9,68.01,7.788521913851564,105.12389999999999,30000.0,
 Alcácer do Sal,38.3,81.48,7.417309500156681,426.0874999999999,,
 Sabrosa,20.6,61.93,7.239357634463421,23.401600000000002,200000.0,
 Vila Pouca de Aguiar,22.5,63.51,7.147596494840643,70.29,90000.0,450.0
 Góis,21.7,63.97,7.11355867831371,40.6441,117500.0,375.0
 Fronteira,17.7,79.03,6.818181818181818,30.0015,49000.0,
 Pinhel,29.9,62.82,6.804672665731033,98.5803,218900.0,
 Viana do Alentejo,22.7,79.25,6.431782965427896,57.4764,528000.0,250.0
 Seixal,23.3,89.69,6.42221058145626,14.2829,172575.0,390.0
 Sousel,23.6,69.02,6.372619218101103,42.008,40500.0,700.0
 Carrazeda de Ansiães,24.1,62.99,6.10943990832259,41.1146,115000.0,
 Alfândega da Fé,20.9,66.03,6.016462183568877,40.48329999999999,249500.0,
 Idanha-a-Nova,36.1,67.63,5.888416623127216,301.074,,
 Alter do Chão,23.6,72.91,5.581793575827879,47.695600000000006,58833.333333333336,
 Mourão,36.2,69.93,5.541398987905107,55.8928,140000.0,
 Vila Velha de Ródão,29.9,71.74,5.322663756782152,52.5044,58000.0,
 Mora,28.0,82.43,4.987048091001239,61.992,150000.0,
 Torre de Moncorvo,32.5,62.31,4.913838513055912,84.89,150000.0,
 Penacova,15.5,63.71,4.909334194620034,16.492,43666.666666666664,
 Arraiolos,20.5,73.32,4.582084095063985,64.2265,130000.0,400.0
 Alvito,36.1,66.68,4.504436473475552,43.0673,84900.0,
 Alcoutim,32.3,67.53,4.381604560622915,81.4283,,
 Ourique,27.1,77.28,4.231807148995191,76.0697,105000.0,200.0
 Miranda do Douro,23.7,72.66,4.220206083993595,48.727199999999996,175000.0,
 Portel,24.4,64.79,4.016572103625563,58.9016,154625.0,
 Figueira de Castelo Rodrigo,25.8,66.81,3.8441119216627015,50.439,115000.0,
 Pampilhosa da Serra,14.6,64.57,3.2764969984361603,18.9654,150000.0,
 Vinhais,20.4,57.89,3.147894926232458,44.614799999999995,85000.0,
 Monforte,46.5,73.87,3.093396787626413,60.45,40280.0,
 Lagoa,36.6,74.24,3.0708215297450425,9.9186,,
 Santana,12.5,58.29,2.901435005760972,3.4625,70000.0,
 Avis,43.6,74.14,2.6866016469462184,70.9808,160000.0,
 Vimioso,27.3,62.28,2.583110114412675,33.961200000000005,125000.0,
 Penamacor,24.6,60.56,2.563374784907133,35.547,69800.0,
 Cabeceiras de Basto,21.9,65.41,2.5514845753039452,13.5123,,
 São Vicente,17.2,61.02,2.3465246067985794,3.182,421129.92307692306,676.0
 Almeida,34.9,74.22,2.2124406347735435,39.995400000000004,29650.0,
 Santa Cruz,15.1,71.51,2.127659574468085,2.6123,68000.0,280.0
 Mértola,28.4,66.56,1.9360028463805334,71.0852,408250.0,475.0
 Ponta Delgada,41.7,107.75,1.2060603459375938,11.7177,59022.22222222222,
 Oleiros,15.6,63.59,0.9531087477976607,7.0043999999999995,32500.0,400.0
 Horta,41.4,90.66,0.9303131861782041,6.6654,90000.0,
 Vila Verde,28.7,66.79,0.6603402282765558,4.333699999999999,58783.333333333336,
 Pombal,21.0,82.15,0.36741214057507987,4.83,242500.0,527.5
 Castelo Branco,27.3,95.84,0.2294550789534067,9.009,350000.0,250.0
,,,,,105750.0,
