ProprietyType,District,AverageSellBathRooms,AverageRentBathRooms,AverageSellRooms,AverageRentRooms,AverageSellPrice,AverageRentPrice,PropertyArea
Apartament, Aveiro,1.9809257966969063,1.4984423676012462,2.332402884391719,1.7570093457943925,216090.57245871134,958.7788161993769,82.60551401869158
House, Aveiro,2.532233883058471,1.7666666666666666,3.353223388305847,2.6666666666666665,224743.35052473765,5730.333333333333,122.95266666666666
Apartament, Beja,1.5471698113207548,1.5,2.6745283018867925,2.0,105372.87735849057,380.0,96.25
House, Beja,1.5659526493799323,1.7777777777777777,2.80608793686584,2.5555555555555554,110046.94024802705,483.3333333333333,143.66666666666666
Apartament, Braga,2.037989829494466,1.6767676767676767,2.5028417588991925,2.165656565656566,179269.45617708645,952.2161616161616,102.73022222222222
House, Braga,2.7011635027556644,2.4545454545454546,3.2703612982241275,3.0,234619.86405388854,916.5909090909091,165.73863636363637
Apartament, Bragança,1.9365079365079365,1.5555555555555556,2.8095238095238093,1.8888888888888888,123995.64285714286,337.77777777777777,85.77777777777777
House, Bragança,2.0528455284552845,1.6,3.6422764227642275,2.0,134854.12601626015,318.0,112.0
Apartament, Castelo Branco,1.7572078907435509,1.434782608695652,2.6783004552352048,1.9130434782608696,110853.06676783005,387.0652173913044,79.13478260869564
House, Castelo Branco,1.7497076023391813,1.5,3.128654970760234,2.3333333333333335,95464.89824561404,370.8333333333333,108.33333333333333
Apartament, Coimbra,1.7972850678733032,1.3231707317073171,2.5019607843137255,1.7439024390243902,174092.80422322775,555.4268292682926,77.29878048780488
House, Coimbra,2.0647414997671167,1.375,3.3563111318118306,2.5833333333333335,160390.56171401957,646.25,117.16666666666667
Apartament, Faro,1.778742684538418,1.355263157894737,2.021616009061733,1.6403508771929824,271694.1304511988,1703.905701754386,77.45592105263158
House, Faro,2.6377626516720922,2.3454545454545452,3.206274045575614,2.6818181818181817,397332.01568511396,1242.3090909090909,132.63809090909092
Apartament, Guarda,1.7530120481927711,1.5714285714285714,2.825301204819277,2.2857142857142856,95217.6204819277,345.7142857142857,94.0
House, Guarda,1.8671679197994988,2.0,3.2656641604010024,3.5,102047.27318295739,710.0,153.5
Apartament, Ilha Terceira,1.4375,1.5,2.6875,2.0,130435.375,544.1666666666666,138.33333333333334
House, Ilha Terceira,1.6973180076628354,2.0,3.0114942528735633,3.0,137854.16475095786,600.0,166.0
Apartament, Ilha da Madeira,2.0028169014084507,1.5,2.238967136150235,1.5819672131147542,261230.39389671362,903.688524590164,87.08877049180327
House, Ilha da Madeira,2.621366849960723,1.9130434782608696,3.0274941084053415,2.3043478260869565,299159.91594658286,990.2173913043479,114.15217391304348
House, Ilha de Porto Santo,2.3783783783783785,1.0,2.9324324324324325,2.0,211201.93243243243,600.0,130.0
House, Ilha de Santa Maria,1.8571428571428572,1.0,3.4285714285714284,0.0,121421.42857142857,350.0,50.0
Apartament, Ilha de São Miguel,1.5693430656934306,1.303030303030303,2.197080291970803,2.1515151515151514,186136.39416058394,710.9090909090909,98.63
House, Ilha de São Miguel,1.5969827586206897,1.3333333333333333,3.0969827586206895,1.7777777777777777,150987.7780172414,477.77777777777777,95.66666666666667
